error,image_name,lidar_file_name,detectorType,descriptorType,matcherType,matcherTypeMetric,matcherTypeSelector,ttc_camera,ttc_lidar,detect_time,desc_time,match_time,detect_keypoints_size,match_keypoints_size,match_removed_keypoints_size,bVis,bLimitKpts,maxKeypoints,bVisshow3DObjects
0,../images/KITTI/2011_09_26/image_02/data/0000000000.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000000.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"","",1,354,0,1864,0,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000001.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000001.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"18","12",1,332,35,1898,750,1056,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000002.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000002.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"17","12",1,339,32,1865,759,1082,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000003.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000003.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"8","14",1,337,31,1840,739,1071,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000004.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000004.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","16",1,335,33,1867,725,1064,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000005.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000005.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"10","15",0,338,34,1876,763,1056,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000006.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000006.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"","12",1,334,32,1843,725,1098,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000007.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000007.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"18","12",1,335,32,1829,650,1138,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000008.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000008.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","13",1,337,31,1843,695,1077,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000009.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000009.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"-9223372036854775808","13",1,324,30,1818,700,1085,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000010.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000010.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"12","11",1,337,30,1879,687,1050,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000011.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000011.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"10","12",1,336,31,1849,685,1113,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000012.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000012.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"13","9",1,337,33,1826,706,1090,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000013.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000013.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","10",1,337,33,1842,718,1042,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000014.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000014.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","9",1,337,33,1833,728,1059,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000015.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000015.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"10","8",1,335,32,1921,740,1033,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000016.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000016.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"14","9",1,335,34,1934,778,1093,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000017.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000017.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"7","9",1,332,33,1946,820,1057,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000018.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000018.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","8",1,334,32,1961,784,1088,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000000.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000000.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,"","",1,7,0,1864,0,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000001.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000001.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,"-9223372036854775808","12",1,7,29,1898,943,786,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000002.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000002.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,"48","12",1,6,27,1865,981,790,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000003.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000003.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,"58","14",1,6,26,1840,980,765,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000004.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000004.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,"11","16",0,7,28,1867,900,825,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000005.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000005.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,"-9223372036854775808","15",1,6,26,1876,975,761,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000006.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000006.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,"77","12",1,6,27,1843,939,793,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000007.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000007.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,"11","12",1,6,26,1829,939,768,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000008.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000008.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,"10","13",1,7,26,1843,930,745,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000009.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000009.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,"12","13",1,6,25,1818,943,747,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000010.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000010.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,"12","11",1,6,25,1879,882,783,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000011.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000011.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,"12","12",1,6,26,1849,946,768,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000012.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000012.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,"10","9",1,6,25,1826,962,743,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000013.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000013.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,"6","10",1,6,26,1842,931,737,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000014.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000014.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,"5","9",1,6,25,1833,965,723,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000015.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000015.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,"","8",1,6,25,1921,969,708,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000016.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000016.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,"-9223372036854775808","9",0,7,28,1934,971,781,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000017.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000017.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,"","9",1,6,26,1946,1016,746,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000018.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000018.bin,FAST,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,"10","8",1,6,27,1961,995,768,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000000.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000000.bin,FAST,ORB,MAT_FLANN,DES_BINARY,SEL_KNN,"","",1,4,0,1864,0,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000001.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000001.bin,FAST,ORB,MAT_FLANN,DES_BINARY,SEL_KNN,"12","12",1,4,26,1898,828,888,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000002.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000002.bin,FAST,ORB,MAT_FLANN,DES_BINARY,SEL_KNN,"10","12",1,4,26,1865,823,936,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000003.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000003.bin,FAST,ORB,MAT_FLANN,DES_BINARY,SEL_KNN,"","14",0,4,25,1840,848,880,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000004.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000004.bin,FAST,ORB,MAT_FLANN,DES_BINARY,SEL_KNN,"26","16",1,4,26,1867,796,915,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000005.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000005.bin,FAST,ORB,MAT_FLANN,DES_BINARY,SEL_KNN,"-9223372036854775808","15",1,4,27,1876,838,885,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000006.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000006.bin,FAST,ORB,MAT_FLANN,DES_BINARY,SEL_KNN,"15","12",1,4,25,1843,831,879,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000007.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000007.bin,FAST,ORB,MAT_FLANN,DES_BINARY,SEL_KNN,"13","12",0,3,25,1829,800,884,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000008.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000008.bin,FAST,ORB,MAT_FLANN,DES_BINARY,SEL_KNN,"14","13",1,4,25,1843,803,857,0,0,50,0
