error,image_name,lidar_file_name,detectorType,descriptorType,matcherType,matcherTypeMetric,matcherTypeSelector,ttc_camera,ttc_lidar,detect_time,desc_time,match_time,detect_keypoints_size,match_keypoints_size,match_removed_keypoints_size,bVis,bLimitKpts,maxKeypoints,bVisshow3DObjects
0,../images/KITTI/2011_09_26/image_02/data/0000000002.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000002.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"36","12",362,348,56,2974,1196,1804,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000003.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000003.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"18","14",357,347,55,2953,1194,1780,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000004.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000004.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"75","16",360,345,53,2855,1133,1820,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000005.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000005.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"29","15",363,350,53,2906,1154,1701,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000006.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000006.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","12",363,346,53,2886,1120,1786,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000007.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000007.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"17","12",361,348,54,2886,1097,1789,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000008.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000008.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"14","13",362,345,52,2893,1108,1778,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000009.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000009.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"24","13",362,348,53,2930,1126,1767,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000010.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000010.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"33","11",364,347,54,3022,1092,1838,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000011.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000011.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"9","12",363,348,55,3013,1159,1863,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000012.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000012.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","9",362,348,54,2949,1189,1824,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000013.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000013.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"9","10",365,347,55,3012,1168,1781,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000014.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000014.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"-31","9",361,347,55,3026,1180,1832,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000015.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000015.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","8",355,349,58,3074,1256,1770,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000016.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000016.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"9","9",362,346,58,3131,1223,1851,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000017.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000017.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"16","9",368,351,58,3135,1268,1863,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000018.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000018.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"18","8",363,349,58,3146,1350,1785,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000000.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000000.bin,ORB,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"","",8,320,0,500,0,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000001.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000001.bin,ORB,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"13","12",8,321,6,500,270,121,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000002.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000002.bin,ORB,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"8","12",8,321,5,500,246,140,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000003.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000003.bin,ORB,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"25","14",8,321,6,500,272,122,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000004.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000004.bin,ORB,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"12","16",8,323,6,500,250,138,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000005.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000005.bin,ORB,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"8","15",8,324,6,500,281,117,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000006.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000006.bin,ORB,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"18","12",8,322,6,500,280,122,0,0,50,0
