error,image_name,lidar_file_name,detectorType,descriptorType,matcherType,matcherTypeMetric,matcherTypeSelector,ttc_camera,ttc_lidar,detect_time,desc_time,match_time,detect_keypoints_size,match_keypoints_size,match_removed_keypoints_size,bVis,bLimitKpts,maxKeypoints,bVisshow3DObjects
0,../images/KITTI/2011_09_26/image_02/data/0000000000.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000000.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"1","281470681751456",1,340,0,1864,0,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000001.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000001.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"18","12",1,323,32,1898,750,1056,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000002.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000002.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"17","12",1,324,31,1865,759,1082,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000003.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000003.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"8","14",1,320,32,1840,739,1071,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000004.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000004.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","16",1,321,30,1867,725,1064,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000005.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000005.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"10","15",1,321,30,1876,763,1056,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000006.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000006.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"10","12",1,325,31,1843,725,1098,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000007.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000007.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"18","11",1,329,30,1829,650,1138,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000008.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000008.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","13",1,323,30,1843,695,1077,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000009.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000009.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"-9223372036854775808","13",1,323,31,1818,700,1085,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000010.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000010.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"12","11",1,319,29,1879,687,1050,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000011.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000011.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"10","12",1,319,30,1849,685,1113,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000012.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000012.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"13","8",1,321,31,1826,706,1090,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000013.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000013.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","9",1,320,30,1842,718,1042,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000014.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000014.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","9",1,320,30,1833,728,1059,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000015.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000015.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"10","8",1,320,30,1921,740,1033,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000016.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000016.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"14","9",1,322,33,1934,778,1093,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000017.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000017.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"7","9",1,321,33,1946,820,1057,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000018.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000018.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","8",1,321,33,1961,784,1088,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000000.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000000.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","8",343,333,0,2896,0,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000001.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000001.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","12",344,331,51,3000,1169,1727,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000002.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000002.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"36","12",344,333,54,2974,1196,1804,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000003.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000003.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"18","14",343,331,51,2953,1194,1780,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000004.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000004.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"75","16",342,331,51,2855,1133,1820,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000005.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000005.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"29","15",344,331,50,2906,1154,1701,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000006.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000006.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","12",346,331,51,2886,1120,1786,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000007.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000007.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"17","11",344,334,50,2886,1097,1789,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000008.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000008.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"14","13",344,330,49,2893,1108,1778,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000009.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000009.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"24","13",344,331,50,2930,1126,1767,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000010.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000010.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"33","11",345,331,51,3022,1092,1838,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000011.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000011.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"9","12",347,332,53,3013,1159,1863,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000012.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000012.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","8",346,331,52,2949,1189,1824,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000013.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000013.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"9","9",347,331,52,3012,1168,1781,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000014.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000014.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"-31","9",346,333,54,3026,1180,1832,0,0,50,0
